timestamp,open,high,low,close,volume
2026-05-07T09:15:00+00:00,65020,65300,64920,65240,2100
2026-05-07T09:30:00+00:00,65240,65520,65160,65480,2300
2026-05-07T09:45:00+00:00,65480,65720,65390,65640,2250
2026-05-07T10:00:00+00:00,65640,65920,65580,65870,2480
2026-05-07T10:15:00+00:00,65870,66150,65790,66080,2520
2026-05-07T10:30:00+00:00,66080,66300,65980,66220,2390
2026-05-07T10:45:00+00:00,66220,66420,66130,66360,2410
2026-05-07T11:00:00+00:00,66360,66580,66240,66490,2560
2026-05-07T11:15:00+00:00,66490,66700,66380,66620,2660
2026-05-07T11:30:00+00:00,66620,66820,66510,66780,2750
2026-05-07T11:45:00+00:00,66780,66980,66690,66890,2680
2026-05-07T12:00:00+00:00,66890,67100,66790,67020,2860
2026-05-07T12:15:00+00:00,67020,67220,66880,67180,2990
2026-05-07T12:30:00+00:00,67180,67340,67060,67290,3050
2026-05-07T12:45:00+00:00,67290,67500,67180,67440,3180
2026-05-07T13:00:00+00:00,67440,67610,67320,67580,3320
2026-05-07T13:15:00+00:00,67580,67840,67480,67760,3500
2026-05-07T13:30:00+00:00,67760,67920,67620,67720,3360
2026-05-07T13:45:00+00:00,67720,67810,67580,67690,2860
