timestamp,open,high,low,close,volume
2026-05-07T09:15:00+05:30,22300,22316,22296,22312,277000
2026-05-07T09:30:00+05:30,22312,22330,22310,22328,286000
2026-05-07T09:45:00+05:30,22328,22342,22322,22339,299000
2026-05-07T10:00:00+05:30,22339,22358,22331,22355,328000
2026-05-07T10:15:00+05:30,22355,22370,22349,22368,341000
2026-05-07T10:30:00+05:30,22368,22384,22358,22381,353000
2026-05-07T10:45:00+05:30,22381,22399,22372,22395,370000
2026-05-07T11:00:00+05:30,22395,22410,22384,22407,388000
2026-05-07T11:15:00+05:30,22407,22426,22400,22422,416000
2026-05-07T11:30:00+05:30,22422,22447,22410,22444,414000
2026-05-07T11:45:00+05:30,22444,22463,22422,22460,439000
2026-05-07T12:00:00+05:30,22460,22479,22438,22475,506000
2026-05-07T12:15:00+05:30,22475,22494,22462,22491,480000
2026-05-07T12:30:00+05:30,22491,22512,22470,22500,496000
2026-05-07T12:45:00+05:30,22500,22524,22486,22520,521000
2026-05-07T13:00:00+05:30,22520,22544,22498,22540,615000
2026-05-07T13:15:00+05:30,22540,22558,22514,22550,647000
2026-05-07T13:30:00+05:30,22550,22573,22532,22562,590000
2026-05-07T13:45:00+05:30,22562,22590,22544,22586,626000
