timestamp,open,high,low,close,volume
2026-05-07T12:15:00+00:00,66400,66480,66340,66460,420
2026-05-07T12:20:00+00:00,66460,66520,66410,66490,390
2026-05-07T12:25:00+00:00,66490,66560,66440,66530,410
2026-05-07T12:30:00+00:00,66530,66620,66500,66590,460
2026-05-07T12:35:00+00:00,66590,66670,66540,66640,470
2026-05-07T12:40:00+00:00,66640,66720,66580,66690,455
2026-05-07T12:45:00+00:00,66690,66780,66630,66740,510
2026-05-07T12:50:00+00:00,66740,66810,66680,66790,495
2026-05-07T12:55:00+00:00,66790,66860,66720,66820,505
2026-05-07T13:00:00+00:00,66820,66930,66770,66890,560
2026-05-07T13:05:00+00:00,66890,67000,66840,66960,590
2026-05-07T13:10:00+00:00,66960,67040,66890,67010,610
2026-05-07T13:15:00+00:00,67010,67090,66940,67050,575
2026-05-07T13:20:00+00:00,67050,67150,66990,67120,640
2026-05-07T13:25:00+00:00,67120,67220,67060,67180,655
2026-05-07T13:30:00+00:00,67180,67280,67110,67230,690
2026-05-07T13:35:00+00:00,67230,67340,67160,67290,710
2026-05-07T13:40:00+00:00,67290,67420,67180,67350,760
2026-05-07T13:45:00+00:00,67350,67500,67280,67440,820
2026-05-07T13:50:00+00:00,67440,67610,67390,67580,890
2026-05-07T13:55:00+00:00,67580,67680,67490,67620,780
2026-05-07T14:00:00+00:00,67620,67840,67580,67760,940
2026-05-07T14:05:00+00:00,67760,67920,67680,67720,860
2026-05-07T14:10:00+00:00,67720,67810,67620,67690,720
